date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,20 - 29,not_vaccinated,0,0,1028705,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,30 - 39,fully_vaccinated,0,0,8028,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,30 - 39,partially_vaccinated,0,0,13591,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,30 - 39,not_vaccinated,0,0,1226621,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,40 - 49,fully_vaccinated,0,0,10901,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,40 - 49,partially_vaccinated,0,0,19005,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,40 - 49,not_vaccinated,1,3,1176999,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,40 - 49,unknown,0,3,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,50 - 59,fully_vaccinated,0,0,16157,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,50 - 59,partially_vaccinated,0,0,32174,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,50 - 59,not_vaccinated,0,3,1257212,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,50 - 59,unknown,0,8,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,60 - 69,fully_vaccinated,0,0,15274,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,60 - 69,partially_vaccinated,0,0,34636,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,60 - 69,not_vaccinated,4,19,922367,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,60 - 69,unknown,5,32,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,70 - 79,fully_vaccinated,0,0,48989,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,70 - 79,partially_vaccinated,0,3,92272,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,70 - 79,not_vaccinated,9,46,598652,1.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,70 - 79,unknown,8,53,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,80+,fully_vaccinated,0,1,70331,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,80+,partially_vaccinated,4,31,120660,3.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,80+,not_vaccinated,21,125,268907,7.81,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,80+,unknown,34,223,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,0 - 9,fully_vaccinated,0,0,21,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,0 - 9,partially_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,0 - 9,not_vaccinated,0,0,880554,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,10 - 19,fully_vaccinated,0,0,895,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,10 - 19,partially_vaccinated,0,0,1242,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,10 - 19,not_vaccinated,0,0,851238,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,20 - 29,fully_vaccinated,0,0,6807,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,20 - 29,partially_vaccinated,0,0,8923,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,20 - 29,not_vaccinated,0,0,1026887,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,30 - 39,fully_vaccinated,0,0,10758,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,30 - 39,partially_vaccinated,0,0,13709,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,30 - 39,not_vaccinated,0,0,1223773,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,40 - 49,fully_vaccinated,0,0,14998,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,40 - 49,partially_vaccinated,0,0,18443,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,40 - 49,not_vaccinated,0,3,1173464,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,40 - 49,unknown,1,4,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,50 - 59,fully_vaccinated,0,0,23114,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,50 - 59,partially_vaccinated,0,0,30870,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,50 - 59,not_vaccinated,0,3,1251559,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,50 - 59,unknown,1,9,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,60 - 69,fully_vaccinated,0,0,23601,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,60 - 69,partially_vaccinated,0,0,32225,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,60 - 69,not_vaccinated,1,20,916451,0.11,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,60 - 69,unknown,4,36,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,70 - 79,fully_vaccinated,1,1,77752,1.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,70 - 79,partially_vaccinated,1,4,77315,1.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,70 - 79,not_vaccinated,7,53,584846,1.2,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,70 - 79,unknown,8,61,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,80+,fully_vaccinated,2,3,107440,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,80+,partially_vaccinated,7,38,98348,7.12,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,80+,not_vaccinated,11,136,254110,4.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,80+,unknown,19,242,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,0 - 9,fully_vaccinated,0,0,23,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,0 - 9,partially_vaccinated,0,0,14,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,0 - 9,not_vaccinated,0,0,880550,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,10 - 19,fully_vaccinated,0,0,1206,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,10 - 19,partially_vaccinated,0,0,1189,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,10 - 19,not_vaccinated,0,0,850980,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,20 - 29,fully_vaccinated,0,0,8926,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,20 - 29,partially_vaccinated,0,0,9141,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,20 - 29,not_vaccinated,0,0,1024550,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
